compound_name,clinical_phase,mechanism_of_action,cf_max_score,cf_avg_score,cf_top_pose,docking_max_score,docking_avg_score,docking_top_pose,safety_Aurora kinase A,safety_Bile Salt Export Pump model 2,safety_Caspase 3,safety_Cathepsin L1,safety_hERG_pIC50,safety_KCNA5,safety_Muscarinic acetylcholine receptor M1,safety_Muscarinic acetylcholine receptor M3,hERG_pIC50,KCNA5,pk_Human microsomal clearance model 2,chem_a_acc,chem_a_don,chem_chi0,chem_chi1,chem_chi0_c,chem_chi1_c,chem_kier1,chem_lip_acc,chem_npr1,chem_peoe_pcplus,chem_peoe_vsaplus0,chem_peoe_vsaplus2,chem_peoe_vsaplus4,chem_peoe_vsaplus6,chem_peoe_vsaminus1,chem_peoe_vsaminus3,chem_peoe_vsaminus5,chem_pmi,chem_pmi2,chem_pmix,chem_pmiz,chem_slogp,chem_slogp_vsa1,chem_slogp_vsa3,chem_slogp_vsa5,chem_slogp_vsa7,chem_slogp_vsa9,chem_smr_vsa0,chem_smr_vsa2,chem_smr_vsa4,chem_smr_vsa6,chem_tpsa,cv_safety_score,high_potential
inositol-hexanicotinate,Launched,,6.16,5.4159999999999995,5.11,-5.3,-5.369999999999999,-5.5,4.26,5.07,5.09,6.01,4.44,5.94,6.38,6.86,4.44,5.94,0.82,12.0,0.0,41.85,29.26,27.36,14.9,47.95,18.0,0.66,5.48,200.95,29.43,0.0,0.0,0.0,0.0,115.5,19287.87,13352.12,9272.25,4079.87,3.72,147.19,0.0,0.0,418.29,0.0,209.17,0.0,0.0,46.47,235.14,5.19,0
lincomycin,Launched,bacterial 30S ribosomal subunit inhibitor,4.86,4.301,3.65,-4.4,-4.49,-4.6,5.75,3.62,4.44,5.45,4.86,6.02,5.4,6.13,4.86,6.02,0.73,6.0,5.0,20.3,12.7,12.6,5.75,23.28,8.0,0.44,4.19,76.95,30.77,41.3,8.62,27.45,0.0,13.57,5868.87,4168.47,3550.24,620.73,-2.27,5.26,18.44,64.59,0.0,98.87,37.99,22.42,0.0,23.7,123.69,5.4399999999999995,0
BX-912,Preclinical,pyruvate dehydrogenase kinase inhibitor,6.98,6.485000000000001,6.81,-6.6,-6.8,-7.1,7.8,4.22,4.5,5.28,4.89,5.67,6.76,5.93,4.89,5.67,1.18,5.0,5.0,20.76,14.67,13.23,6.19,23.17,9.0,0.17,2.67,153.05,32.69,15.68,17.44,12.25,0.0,0.14,11161.28,9983.12,9361.17,621.8,3.99,112.34,55.32,21.92,121.79,79.56,23.86,19.84,63.77,60.15,110.86,5.279999999999999,0
WZ-4002,Preclinical,EGFR inhibitor,6.59,4.3870000000000005,5.0,0.0,-4.2299999999999995,-5.9,6.8,4.08,4.47,4.7,5.05,5.63,6.71,6.48,5.05,5.63,1.32,4.0,2.0,24.79,16.94,17.39,7.96,28.02,9.0,0.29,3.87,55.46,13.14,28.63,8.62,64.14,5.68,16.07,12516.24,9722.6,9042.13,686.82,3.13,74.85,73.76,68.28,158.36,96.72,26.99,3.12,46.19,79.02,93.05,5.34,0
L-694247,Preclinical,serotonin receptor agonist,8.08,7.154999999999999,7.73,-6.1,-6.23,-6.4,5.93,4.2,3.84,3.85,4.94,6.54,5.46,5.29,4.94,6.54,0.74,2.0,1.0,20.43,13.91,13.4,7.9,22.2,8.0,0.46,3.28,62.33,12.8,0.0,25.86,66.6,5.68,8.08,5995.12,3643.67,3322.88,265.68,2.56,84.55,18.44,79.16,170.04,2.76,57.91,66.09,15.68,18.44,116.49,5.74,0
monensin,Launched,bacterial permeability inducer,7.6,6.112,6.05,-5.9,-6.33,-7.0,7.28,4.46,5.09,5.18,4.65,6.39,6.77,7.41,4.65,6.39,1.33,9.0,3.0,34.69,21.97,25.45,14.11,38.24,11.0,0.56,3.99,253.32,0.0,30.97,0.0,131.23,0.0,0.0,13487.8,7907.98,6645.33,1262.04,2.94,1.46,20.93,35.38,0.0,266.61,132.54,26.46,0.0,22.39,156.2,5.52,1
CJ-13610,Phase 2,lipoxygenase inhibitor,6.5,5.772999999999999,5.92,-6.3,-6.389999999999999,-6.6,6.12,4.17,5.05,4.06,5.04,5.58,5.35,6.89,5.04,5.58,1.32,2.0,1.0,19.56,13.58,14.86,8.63,21.24,5.0,0.11,2.94,86.88,48.72,12.95,8.62,44.27,0.0,13.57,9607.98,9004.38,8562.93,449.33,3.28,7.16,41.85,3.1,178.33,65.55,51.65,3.1,35.65,47.11,71.39,5.3100000000000005,0
pimavanserin,Launched,serotonin receptor inverse agonist,6.89,5.629,6.28,-5.3,-5.449999999999999,-5.8,4.69,4.13,5.48,4.52,5.87,5.31,5.29,6.4,5.87,5.31,0.83,2.0,1.0,22.22,14.9,17.65,9.46,25.62,5.0,0.44,3.32,93.85,9.02,0.0,26.06,86.51,0.0,0.0,7186.65,5261.92,4386.26,874.31,3.78,7.95,57.81,32.9,141.15,147.6,26.99,31.54,0.0,62.64,46.01,5.59,0
aspirin,Launched,cyclooxygenase inhibitor,6.12,4.679,5.15,-4.3,-4.4399999999999995,-4.7,3.88,3.33,4.45,6.02,5.08,5.06,5.64,6.57,5.08,5.06,1.31,1.0,0.0,9.84,6.11,6.14,3.56,11.08,4.0,0.43,0.83,33.75,0.0,0.0,0.0,36.76,0.0,16.07,1095.26,665.43,633.97,31.4,-0.02,9.21,0.0,0.0,70.57,38.57,90.41,0.0,0.0,9.21,66.43,5.07,0
Ro-106-9920,Preclinical,NFkB pathway inhibitor,,,,,,,5.19,3.51,4.3,4.02,4.57,6.23,5.69,6.2,4.57,6.23,2.17,5.0,0.0,11.66,8.34,6.68,4.13,12.06,6.0,0.3,1.15,25.39,0.0,0.0,0.0,46.19,0.0,0.0,2225.5,1830.62,1624.23,208.74,0.67,76.61,0.0,18.21,105.86,0.0,24.09,1.55,0.0,18.77,92.24,5.4,0
XL147,Phase 2,PI3K inhibitor,7.68,6.896000000000001,7.19,-6.2,-6.44,-6.8,6.67,4.7,4.47,4.84,5.3,5.98,5.96,6.37,5.3,5.98,1.54,6.0,2.0,21.42,14.98,13.97,8.66,22.78,8.0,0.4,2.39,52.62,11.19,0.0,31.13,44.84,0.0,16.15,10132.22,6325.86,5990.1,206.26,4.35,118.8,0.0,33.52,198.36,72.42,48.17,1.55,48.58,4.66,108.7,5.640000000000001,0
mepazine,Phase 2,MALT1 inhibitor (JH),6.57,6.019,6.53,-5.3,-5.499999999999999,-5.9,6.05,4.21,4.38,4.56,5.81,5.27,6.23,6.72,5.81,5.27,1.12,0.0,0.0,14.94,10.81,13.08,7.52,15.52,2.0,0.57,2.13,64.82,0.0,0.0,8.62,68.78,0.0,0.0,2939.18,1886.85,1482.68,402.74,3.21,0.0,55.32,36.0,141.15,37.73,3.12,10.64,5.51,55.32,7.68,5.539999999999999,0
TAK-779,Preclinical,CC chemokine receptor antagonist,6.19,2.513,4.16,0.0,-2.04,-4.7,6.74,4.32,4.58,4.65,5.35,5.9,5.71,6.67,5.35,5.9,1.67,2.0,1.0,25.83,17.87,22.92,13.83,28.53,4.0,0.07,3.18,83.97,13.19,0.0,0.0,100.25,0.0,13.57,23358.37,22061.07,21776.11,285.06,7.04,23.27,41.85,87.85,200.45,54.52,34.86,0.0,27.14,64.75,38.33,5.625,0
salicylamide,Launched,analgesic agent,5.59,4.0840000000000005,3.13,-4.4,-4.569999999999999,-4.8,3.99,3.34,4.74,4.79,5.03,5.02,5.35,5.3,5.03,5.02,0.83,2.0,2.0,7.56,4.72,4.56,2.98,8.1,3.0,0.34,1.19,0.0,0.0,10.32,0.0,24.51,0.0,13.57,629.32,433.56,418.53,15.03,0.49,5.26,0.0,0.0,70.57,5.24,23.86,0.0,32.9,5.26,63.32,5.025,0
UBP-310,Preclinical,glutamate receptor antagonist,6.58,5.906000000000001,5.68,-5.5,-5.75,-5.9,4.07,3.54,5.55,4.84,4.72,5.62,6.03,5.98,4.72,5.62,0.97,2.0,0.0,18.02,11.22,9.15,4.04,20.31,9.0,0.53,2.89,36.02,22.12,0.0,43.3,12.25,0.0,13.57,3872.85,2538.42,2064.11,473.23,-2.59,19.27,18.44,3.19,50.67,106.91,180.82,32.9,0.0,31.46,148.52,5.17,0
o-mercapto-benzoic-acid,Preclinical,,5.65,4.776000000000001,4.93,-3.8,-4.08,-4.3,3.83,3.68,4.71,5.52,5.24,5.12,5.95,6.13,5.24,5.12,1.04,2.0,2.0,7.56,4.72,4.56,2.98,8.1,2.0,0.43,0.78,2.21,0.0,10.32,0.0,49.02,4.18,13.57,766.41,435.04,434.81,0.08,1.29,7.75,25.39,1.55,70.57,0.0,23.86,26.94,0.0,7.75,37.3,5.18,0
T-0070907,Preclinical,PPAR receptor antagonist,7.11,6.725,6.96,-5.7,-5.92,-6.3,6.07,3.7,5.31,5.1,5.28,5.49,5.67,6.78,5.28,5.49,1.13,2.0,1.0,13.83,9.08,7.84,4.62,15.39,6.0,0.25,1.53,64.7,0.0,0.0,0.0,29.58,0.0,53.18,3630.84,2829.69,2756.7,74.01,2.9,47.14,50.94,0.0,122.64,44.66,30.95,50.94,23.52,5.26,87.81,5.385,0
amprenavir,Launched,HIV protease inhibitor,6.35,5.667,5.73,-4.5,-4.55,-4.7,6.05,4.13,5.19,6.95,4.61,5.44,5.29,7.62,4.61,5.44,1.18,5.0,3.0,25.42,16.65,17.23,9.89,29.55,9.0,0.39,3.17,118.49,17.24,10.32,19.2,98.77,0.0,2.5,9972.64,7595.33,6523.06,1070.39,2.4,57.01,78.73,20.42,158.79,93.27,94.03,23.97,2.76,86.05,131.19,5.025,0
ZM-323881,Preclinical,VEGFR inhibitor,,,,,,,6.42,4.18,4.09,5.14,5.91,5.57,6.47,6.55,5.91,5.57,1.42,4.0,2.0,19.51,13.6,14.68,8.9,21.24,5.0,0.13,2.09,15.0,54.33,10.32,0.0,61.27,0.0,0.0,8707.47,7908.78,7608.81,299.9,5.37,51.58,0.0,0.0,197.93,84.78,0.0,9.12,27.81,0.0,67.27,5.74,0
atractylenolide-i,Preclinical,JAK inhibitor,7.59,5.778,5.94,-5.4,-5.65,-6.0,6.16,4.09,5.6,4.41,4.62,5.86,6.31,6.03,4.62,5.86,1.53,1.0,0.0,12.21,8.01,10.5,6.62,12.06,2.0,0.25,1.0,66.19,0.0,0.0,0.0,43.26,0.0,16.07,2048.02,1650.96,1557.49,93.51,3.51,7.75,0.0,14.8,17.64,98.75,34.86,4.41,0.0,7.75,26.3,5.24,0
caffeine,Launched,adenosine receptor antagonist  phosphodiesterase inhibitor,6.47,4.792999999999999,4.61,-4.2,-4.49,-4.7,3.95,3.35,5.23,4.2,4.77,5.96,6.38,5.38,4.77,5.96,0.59,3.0,0.0,10.46,6.54,6.02,0.67,10.52,6.0,0.41,1.6,108.1,4.27,0.0,17.44,0.0,0.0,13.57,1179.62,708.08,702.69,4.99,0.42,31.9,0.0,65.79,16.79,59.09,47.72,3.12,2.33,10.09,58.44,5.365,0
dexchlorpheniramine,Launched,histamine receptor antagonist,6.27,5.197,5.85,-4.8,-5.0699999999999985,-5.5,5.1,3.65,4.36,5.4,5.38,5.82,5.62,6.53,5.38,5.82,0.58,1.0,0.0,13.66,9.16,11.38,6.12,15.39,2.0,0.41,2.06,49.46,0.0,0.0,8.62,66.35,0.0,5.68,3061.1,2121.78,1853.72,223.71,2.4,16.79,18.44,65.79,140.72,39.15,3.12,0.0,0.0,18.44,17.33,5.6,0
m-chlorophenylbiguanide,Preclinical,serotonin receptor agonist,6.43,5.686999999999999,6.07,-4.9,-5.02,-5.3,3.91,3.15,4.23,5.56,5.33,5.82,6.55,5.78,5.33,5.82,0.81,1.0,2.0,10.55,6.58,5.14,2.63,12.07,5.0,0.2,2.54,4.52,0.0,60.33,31.36,47.52,0.0,0.14,2161.88,1899.57,1751.92,146.03,-0.86,21.81,0.0,16.79,70.57,41.91,0.0,0.0,86.56,3.8,102.02,5.575,0
SKF-77434,Preclinical,dopamine receptor agonist,6.19,5.710999999999999,6.1,-5.6,-5.83,-6.0,5.82,3.75,3.72,5.92,5.09,4.97,4.97,6.07,5.09,4.97,0.94,2.0,2.0,15.53,10.69,12.95,8.31,16.84,3.0,0.49,2.63,21.5,16.92,20.65,8.62,83.58,0.0,0.0,3724.68,2111.45,1956.01,145.7,1.86,0.0,55.32,18.87,141.15,42.59,3.12,0.0,0.0,55.32,44.9,5.029999999999999,0
piribedil,Launched,dopamine receptor agonist,7.13,5.318,3.6,-5.6,-5.79,-6.2,5.22,3.44,4.36,5.0,5.0,5.97,6.01,5.82,5.0,5.97,1.21,4.0,0.0,14.78,10.88,10.79,4.87,15.52,6.0,0.2,2.77,52.76,30.11,15.68,8.62,12.25,0.0,0.0,4654.5,4094.69,3779.97,313.93,0.38,33.57,96.74,0.0,105.0,30.83,3.12,3.12,1.9,96.74,51.92,5.484999999999999,0
IDO5L,Preclinical,"indoleamine 2,3-dioxygenase inhibitor",7.17,6.381,6.56,-5.6,-5.75,-5.9,4.56,3.65,5.33,5.51,5.05,5.96,6.05,5.47,5.05,5.96,0.83,4.0,2.0,13.12,8.61,5.59,3.13,14.41,7.0,0.21,1.43,6.7,34.88,0.0,0.0,29.58,0.0,6.79,3405.97,2834.56,2709.72,106.54,2.42,57.2,24.1,29.79,52.93,59.19,9.96,33.22,23.1,0.0,106.4,5.505,0
5-fluoropyrimidine,Phase 3,kinase inhibitor,5.29,4.7490000000000006,3.44,-2.8,-2.93,-3.0,4.96,3.39,4.66,3.63,4.72,6.08,5.49,6.38,4.72,6.08,0.59,2.0,0.0,5.11,3.39,2.7,0.82,5.14,2.0,0.3,0.68,0.0,25.5,0.0,0.0,0.0,0.0,0.0,271.26,188.65,188.65,0.0,0.62,33.57,0.0,0.0,51.21,14.96,0.0,9.12,0.0,0.0,25.78,5.4,0
PAT-1251,Phase 1,lysyl oxidase inhibitor,6.81,5.672,4.81,-6.2,-6.42,-6.6,6.37,3.68,5.22,5.02,4.95,6.14,5.53,5.81,4.95,6.14,0.73,3.0,1.0,20.47,13.17,11.48,6.45,22.68,6.0,0.23,3.77,4.42,30.26,10.32,34.9,12.25,35.73,16.07,8074.19,6969.41,6371.42,600.77,2.37,25.17,36.88,0.0,105.86,88.34,23.86,40.66,0.0,42.14,90.3,5.545,0
galidesivir,Phase 1,antiviral,5.62,4.4239999999999995,5.62,-4.3,-4.499999999999999,-4.8,5.63,3.38,5.55,4.78,5.1,6.43,5.84,5.45,5.1,6.43,0.61,6.0,6.0,13.57,9.13,6.74,3.15,13.96,8.0,0.33,2.57,18.95,79.06,30.97,0.0,0.0,0.0,6.79,2651.35,2251.13,1885.65,365.49,-1.64,33.57,20.93,0.0,38.29,2.33,0.0,34.8,6.62,20.93,140.31,5.765,0
stemregenin-1,Preclinical,aryl hydrocarbon receptor antagonist,6.76,5.771000000000001,6.6,-5.6,-5.790000000000001,-6.0,6.37,4.71,4.39,5.63,5.49,6.91,6.28,6.44,5.49,6.91,1.81,4.0,2.0,21.37,15.1,16.26,9.09,22.78,6.0,0.36,2.35,65.47,30.77,10.32,0.0,77.71,0.0,0.14,9494.14,6467.14,6169.39,301.33,5.74,70.27,18.44,18.87,186.44,105.5,0.0,0.0,33.03,18.44,75.86,6.2,0
duvelisib,Launched,PI3K inhibitor,7.31,5.935,5.98,-6.7,-6.840000000000001,-7.1,6.41,4.75,4.85,4.95,5.42,6.79,5.91,5.48,5.42,6.79,1.5,5.0,4.0,20.66,14.63,14.55,8.03,21.83,7.0,0.26,2.39,26.2,56.28,0.0,0.0,90.86,0.0,13.7,7247.85,5834.41,5427.19,398.86,4.51,73.63,0.0,2.76,178.58,77.56,23.86,19.91,26.95,22.9,86.8,6.105,0
selonsertib,Phase 2,MAP kinase activator,8.0,7.483999999999999,7.86,-6.4,-6.5200000000000005,-6.8,7.48,4.73,4.75,5.26,5.09,7.01,6.21,6.28,5.09,7.01,1.73,5.0,1.0,23.11,15.9,16.42,8.57,24.68,8.0,0.33,2.52,79.61,77.92,0.0,0.0,12.25,0.0,13.57,10157.76,7325.91,6951.49,373.85,4.78,93.96,0.0,0.0,146.84,117.27,23.86,9.12,28.18,5.26,90.52,6.05,0
VT-464,Phase 2,cytochrome P450 inhibitor,6.75,5.6579999999999995,5.16,-6.2,-6.5,-6.9,5.65,4.32,4.75,5.98,5.0,5.82,6.93,7.29,5.0,5.82,0.86,6.0,3.0,20.47,13.21,11.94,6.86,22.68,6.0,0.28,2.48,46.6,32.15,10.32,37.06,75.16,47.63,8.88,7417.2,5966.92,5463.12,504.53,4.36,33.2,0.0,0.0,110.58,136.98,0.0,21.07,5.15,0.0,80.26,5.41,0
VU10010,Preclinical,acetylcholine receptor allosteric modulator,7.79,6.697,5.98,-5.5,-5.6899999999999995,-6.1,5.35,4.39,4.85,5.55,5.05,6.55,6.96,5.84,5.05,6.55,1.28,2.0,2.0,16.56,10.95,11.44,6.68,17.81,4.0,0.31,1.63,71.77,17.24,12.95,0.0,54.09,0.0,19.25,5041.84,3842.58,3526.15,264.62,4.35,22.04,0.0,0.0,91.11,158.27,23.86,18.01,5.65,5.26,68.01,5.8,0
algestone-acetophenide,Launched,,6.36,4.768000000000001,4.98,-5.1,-5.53,-6.1,7.19,4.6,5.38,4.9,4.67,5.91,6.27,7.06,4.67,5.91,1.86,4.0,0.0,23.23,15.64,19.81,13.02,23.4,4.0,0.36,2.07,134.61,0.0,0.0,0.0,100.98,0.0,27.13,7077.56,5328.91,4720.12,608.22,6.06,11.38,0.0,3.19,105.86,133.3,69.72,13.23,0.0,11.38,52.6,5.29,0
omtriptolide,Preclinical,ERK1 and ERK2 phosphorylation inhibitor,8.05,6.352,6.62,-6.4,-6.660000000000001,-6.9,6.19,3.8,5.41,4.42,3.94,5.87,6.33,6.9,3.94,5.87,1.98,5.0,0.0,23.13,15.63,15.59,9.31,22.22,9.0,0.31,2.62,115.19,14.71,0.0,0.0,56.24,0.0,27.13,8733.54,6892.75,6261.8,630.8,0.18,16.95,20.93,6.37,0.0,99.98,169.27,8.82,0.0,37.88,130.32,4.905,0
KN-62,Preclinical,calcium/calmodulin dependent protein kinase inhibitor  purinergic receptor antagonist,6.88,3.2010000000000005,6.28,0.0,-2.5700000000000003,-6.2,6.46,5.0,5.33,5.41,4.83,5.75,6.31,6.55,4.83,5.75,1.38,8.0,0.0,35.59,24.61,25.74,15.2,39.24,11.0,0.28,3.58,216.6,11.51,12.95,4.18,134.8,0.0,29.88,19626.87,15725.63,14396.44,1306.45,5.13,139.82,73.76,54.87,379.08,8.0,120.21,6.23,13.05,79.02,130.08,5.29,0
ponesimod,Phase 3,sphingosine 1-phosphate receptor agonist,6.02,4.656000000000001,4.38,-4.6,-4.720000000000001,-4.8,6.75,4.33,5.03,5.24,5.56,6.32,6.69,6.09,5.56,6.32,1.16,4.0,2.0,22.38,14.94,15.68,8.87,25.62,6.0,0.16,3.25,34.12,15.79,20.65,12.95,110.92,0.0,0.14,13482.52,11704.68,11400.57,300.18,2.35,5.95,60.29,1.55,123.5,146.02,40.65,3.12,2.76,83.89,83.97,5.9399999999999995,0
methimazole,Launched,antithyroid agent,5.56,4.8100000000000005,5.37,-2.7,-2.78,-2.9,4.03,3.35,5.4,3.24,4.7,5.47,5.99,5.38,4.7,5.47,0.5,1.0,1.0,5.28,3.3,2.99,0.5,5.14,2.0,0.38,0.53,25.96,40.0,0.0,0.0,0.0,0.0,0.14,377.24,237.05,224.38,1.61,0.28,3.41,0.0,32.9,34.43,45.19,0.0,18.01,0.0,0.28,47.36,5.085,0
tamoxifen,Launched,estrogen receptor antagonist  selective estrogen receptor modulator (SERM),6.75,6.375000000000001,6.07,-5.6,-5.720000000000001,-5.8,5.51,4.23,4.74,3.93,5.69,6.11,5.41,6.07,5.69,6.11,1.48,1.0,0.0,19.77,13.69,18.48,11.21,22.68,2.0,0.31,2.61,21.33,28.14,0.0,8.62,165.81,0.0,0.0,7476.03,5525.0,5244.52,280.01,4.4,0.0,42.55,65.79,250.19,38.57,3.12,3.19,3.19,39.37,13.67,5.9,0
guancydine,Preclinical,antihypertensive agent,5.96,5.270999999999999,4.93,-3.7,-3.87,-4.0,5.51,3.49,4.23,3.21,4.71,5.42,5.08,4.18,4.71,5.42,0.61,2.0,2.0,8.91,5.02,5.49,2.06,11.0,4.0,0.23,1.21,46.92,0.0,40.47,0.0,18.75,17.74,0.0,1039.06,908.02,823.94,84.07,0.56,1.9,47.23,16.79,0.0,99.98,0.0,18.01,32.9,1.9,74.2,5.0649999999999995,0
naquotinib,Phase 3,EGFR inhibitor,5.47,4.720000000000001,5.13,-4.7,-5.1000000000000005,-5.5,5.91,3.79,5.63,4.97,4.76,5.95,5.87,5.77,4.76,5.95,0.98,5.0,2.0,28.93,19.84,20.79,10.0,32.4,11.0,0.22,4.54,189.54,19.81,12.95,8.62,41.05,0.0,27.13,19685.35,16473.25,15484.5,988.35,0.85,68.35,147.52,51.77,88.22,78.08,50.85,3.12,58.75,158.03,121.36,5.355,0
SCS,Preclinical,,6.1,5.879,5.96,-5.5,-5.74,-6.0,5.41,3.65,4.76,4.9,4.91,5.38,5.67,5.34,4.91,5.38,0.99,4.0,3.0,13.66,9.18,9.25,6.04,15.39,5.0,0.11,1.81,2.21,0.0,20.65,0.0,61.27,9.42,13.57,3902.35,3574.23,3494.73,79.36,1.86,5.26,0.0,16.66,141.15,10.49,23.86,17.89,0.0,5.26,81.92,5.145,0
emtricitabine,Launched,nucleoside reverse transcriptase inhibitor,5.78,4.649,2.61,-4.7,-4.840000000000001,-5.0,4.81,3.65,5.21,4.99,5.27,5.24,5.94,6.07,5.27,5.24,0.62,4.0,2.0,11.71,7.61,5.01,1.56,12.46,6.0,0.21,2.12,19.21,16.28,10.32,17.44,0.0,5.68,0.0,2213.18,1864.04,1769.75,93.67,0.0,10.28,38.16,25.91,17.21,71.04,34.86,0.0,32.9,45.32,88.15,5.255,0
PNU-89843,Preclinical,benzodiazepine receptor agonist,5.51,5.223999999999999,4.99,-5.3,-5.529999999999999,-5.8,5.5,4.13,5.18,4.53,4.99,6.88,6.89,4.66,4.99,6.88,1.02,2.0,0.0,14.4,10.24,11.25,5.06,14.58,5.0,0.44,1.44,176.55,22.38,15.68,0.0,0.0,5.68,0.0,3440.83,1974.7,1939.0,35.7,2.84,35.47,73.76,0.0,21.93,70.45,0.0,6.25,8.52,73.76,37.19,5.9350000000000005,0
undecylenic-acid,Launched,other antifungal,6.46,5.458,6.33,-3.6,-3.65,-3.9,4.86,3.53,4.2,4.36,4.84,5.09,5.42,5.54,4.84,5.09,1.05,0.0,0.0,9.94,6.27,7.94,5.12,13.0,2.0,0.26,0.65,82.95,0.0,0.0,0.0,47.06,0.0,0.0,1790.35,1454.46,1352.61,101.84,2.04,1.46,0.0,0.0,17.64,32.1,66.55,0.0,0.0,1.46,40.13,4.965,0
montelukast,Launched,leukotriene receptor antagonist,6.25,5.532,5.48,-5.0,-5.09,-5.3,7.41,4.75,6.19,5.21,5.37,6.15,6.68,6.77,5.37,6.15,1.12,1.0,1.0,29.04,19.6,23.62,15.64,32.4,4.0,0.32,2.91,150.55,0.0,23.72,8.62,127.62,19.76,0.0,15591.09,12938.74,11178.78,1747.22,7.44,1.46,17.23,18.87,234.08,138.02,83.33,0.0,4.72,53.98,74.5,5.76,0
DR-2313,Preclinical,PARP inhibitor,6.08,5.3,4.83,-4.0,-4.18,-4.4,5.23,3.48,5.92,4.3,4.83,5.37,5.67,5.03,4.83,5.37,1.27,2.0,1.0,8.55,5.77,5.43,2.56,8.59,3.0,0.3,0.97,57.97,11.19,0.0,0.0,0.0,25.44,13.57,1119.36,807.09,787.09,19.25,0.93,7.59,34.47,22.73,0.0,65.55,23.86,18.01,0.0,42.05,41.46,5.1,0
rheochrysidin,Preclinical,protein tyrosine kinase inhibitor,7.38,6.173,5.79,-5.9,-6.11,-7.0,4.8,3.99,4.86,5.74,4.66,5.8,5.54,4.9,4.66,5.8,1.54,4.0,1.0,15.31,9.93,10.6,6.51,15.88,5.0,0.26,1.46,44.42,0.0,10.32,0.0,0.0,0.0,27.13,3285.47,2470.02,2440.52,28.79,2.63,11.38,0.0,35.38,70.57,43.81,90.41,0.0,0.0,11.38,86.66,5.23,0
MK-2894,Preclinical,prostaglandin inhibitor,6.93,5.443999999999999,4.72,-6.0,-6.32,-6.5,4.9,4.73,5.27,5.2,4.62,6.37,6.2,5.61,4.62,6.37,1.06,1.0,1.0,23.97,15.5,16.55,10.69,26.07,4.0,0.32,2.07,53.39,0.0,0.0,9.05,81.9,35.73,13.57,9905.39,7683.67,6985.94,689.38,5.38,6.72,0.0,18.87,141.15,142.81,90.41,25.77,0.0,6.72,69.23,5.495,0
sulfacetamide,Launched,PABA antagonist,7.02,6.1,5.95,-6.1,-6.200000000000001,-6.6,4.86,3.33,4.05,4.69,4.79,4.82,4.48,5.18,4.79,4.82,0.19,3.0,2.0,10.77,6.42,5.56,3.21,12.07,5.0,0.2,1.37,44.01,25.86,0.0,4.18,0.0,2.53,0.0,1804.5,1613.97,1475.47,138.01,0.09,53.43,0.0,1.55,70.57,36.08,72.03,17.96,2.76,5.26,89.26,4.805,0
vercirnon,Phase 3,CC chemokine receptor antagonist,5.94,5.523999999999999,5.94,-6.9,-6.9799999999999995,-7.2,5.97,4.9,4.94,3.98,4.91,5.31,5.4,5.27,4.91,5.31,1.24,2.0,0.0,22.1,13.97,15.32,9.37,24.64,6.0,0.39,2.07,96.34,8.53,4.18,0.0,104.78,10.11,21.64,8314.78,5958.54,5343.26,615.43,4.9,53.86,26.84,1.55,209.62,141.88,76.08,44.79,2.76,5.69,76.67,5.109999999999999,0
acitretin,Launched,retinoid receptor agonist,7.16,6.055999999999999,5.89,-4.7,-4.99,-5.3,4.97,4.34,4.03,5.58,4.82,5.47,5.34,5.37,4.82,5.47,1.23,1.0,0.0,18.28,11.26,15.57,8.99,22.04,3.0,0.08,1.2,88.98,0.0,0.0,0.0,63.48,0.0,0.0,9795.18,9171.81,9015.97,155.84,3.83,1.46,0.0,41.76,105.86,171.87,66.55,0.0,0.0,19.11,49.36,5.145,0
simurosertib,Preclinical,kinase inhibitor,7.57,7.077,6.98,-6.3,-6.55,-6.9,6.48,3.67,4.67,4.63,5.43,6.19,6.75,6.27,5.43,6.19,0.74,4.0,3.0,16.26,11.69,11.15,6.1,16.19,6.0,0.13,2.74,88.55,7.41,0.0,8.62,4.18,15.1,17.44,6174.39,5544.53,5414.29,129.0,1.48,42.26,36.88,16.79,39.4,67.36,26.99,21.07,25.31,44.47,74.58,5.8100000000000005,0
purvalanol-B,Preclinical,tyrosine kinase inhibitor,6.63,6.151,6.59,-5.6,-5.8100000000000005,-6.3,6.34,3.94,5.94,6.43,4.61,6.06,6.64,6.37,4.61,6.06,1.26,4.0,3.0,22.0,14.21,13.89,6.52,24.64,9.0,0.21,2.36,74.92,39.39,26.01,0.0,79.33,5.68,0.14,9006.56,7794.74,7195.79,599.21,2.69,89.74,20.93,0.0,73.57,179.44,66.55,4.41,46.86,22.39,128.02,5.335,0
bendamustine,Launched,DNA inhibitor,6.85,6.054,5.94,-5.0,-5.159999999999999,-5.4,5.42,4.15,4.92,4.48,5.23,6.15,5.72,5.29,5.23,6.15,0.99,0.0,0.0,16.82,11.06,10.96,5.28,19.33,5.0,0.19,2.19,150.49,0.0,0.0,8.62,0.0,0.0,0.0,7562.08,6326.71,6178.16,151.9,1.71,3.36,75.25,18.87,57.22,113.95,83.33,3.12,7.05,76.71,62.44,5.69,0
